Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
68,"\ubc24, \ubc14\ub2e4",\ucd5c\uc720\ub9ac,\uc5ec\ud589: \ud50c\ub9ac(playlist) OST Part.2,0:03:19,Ballad,2023.10.29
69,CAKE,ITZY,KILL MY DOUBT,0:01:49,Dance,2023.7.31
70,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',0:04:03,Dance,2023.7.21
71,\uc774\uc81c \ub098\ub9cc \ubbff\uc5b4\uc694,\uc784\uc601\uc6c5,\ub0b4\uc77c\uc740 \ubbf8\uc2a4\ud130\ud2b8\ub86f \uc6b0\uc2b9\uc790 \ud2b9\uc804\uace1,0:04:34,Trot,2020.4.3
72,\ubd04\ub0a0,\ubc29\ud0c4\uc18c\ub144\ub2e8,YOU NEVER WALK ALONE,0:02:56,Rap/Hip Hop,2017.2.13
73,\uc0ac\uc2e4\ub9d0\uc57c\ub0b4\uac00\ub9d0\uc57c\uadf8\uac8c\uadf8\ub7ec\ub2c8\uae4c\ub9d0\uc774\uc57c,\ucf00\uc774\uc2dc,\uc0ac\uc2e4\ub9d0\uc57c\ub0b4\uac00\ub9d0\uc57c\uadf8\uac8c\uadf8\ub7ec\ub2c8\uae4c\ub9d0\uc774\uc57c,0:03:10,Ballad,2023.6.4
74,Teddy Bear,STAYC,Teddy Bear,0:03:35,Dance,2023.2.14
75,Vancouver 2,BIG Naughty,ICN > YVR,0:03:37,Rock/Metal,2023.11.23
76,Chill Kill,Red Velvet (\ub808\ub4dc\ubca8\ubcb3),Chill Kill - The 3rd Album,0:03:27,Dance,2023.11.13
77,\uccab \ub208,EXO,\uaca8\uc6b8 \uc2a4\ud398\uc15c \uc568\ubc94 '12\uc6d4\uc758 \uae30\uc801 (Miracles In December)',0:02:45,Ballad,2013.12.9
78,Butter,\ubc29\ud0c4\uc18c\ub144\ub2e8,Butter,0:03:30,Dance,2021.5.21
79,\ubb34\uc9c0\uac1c,\uc784\uc601\uc6c5,IM HERO,0:02:16,Ballad,2022.5.22
80,"\ubaa8\ub4e0 \ub0a0, \ubaa8\ub4e0 \uc21c\uac04 (Every day, Every Moment)",\ud3f4\ud0b4,'\ud0a4\uc2a4 \uba3c\uc800 \ud560\uae4c\uc694?' OST Part.3,0:04:05,Ballad,2018.3.20
81,Chili,\ud654\uc0ac,Chili,0:03:31,Dance,2023.10.4
82,\ub2ec\ube5b\uc5d0 \uadf8\ub824\uc9c0\ub294,\ubbf8\uc5f0,\uc5f0\uc778 OST Part.4,0:04:05,Ballad,2023.8.20
83,KIDDING,\uc774\uc138\uacc4\uc544\uc774\ub3cc,KIDDING,0:03:59,Dance,2023.8.18
84,London Boy,\uc784\uc601\uc6c5,Polaroid,0:03:05,Rock/Metal,2022.11.15
85,\uc544\ubc84\uc9c0,\uc784\uc601\uc6c5,IM HERO,0:02:28,Ballad,2022.5.22
86,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE,0:04:02,Dance,2022.10.17
87,Yes or No,\uc815\uad6d,GOLDEN,0:03:27,Dance,2023.11.3
88,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),0:03:44,R&B/Soul,2019.11.1
89,Polaroid,\uc784\uc601\uc6c5,Polaroid,0:03:32,Rock/Metal,2022.11.15
90,\ubbf8\uce5c \uc0ac\ub791\uc758 \ub178\ub798,\uae40\uc5f0\uc9c0,\ubbf8\uce5c \uc0ac\ub791\uc758 \ub178\ub798,0:03:54,Ballad,2023.8.20
91,Baggy Jeans,NCT U,Golden Age - The 4th Album,0:03:49,Rap/Hip Hop,2023.8.28
92,\uc778\uc0dd\ucc2c\uac00,\uc784\uc601\uc6c5,IM HERO,0:03:01,Ballad,2022.5.22
93,\uc232,\ucd5c\uc720\ub9ac,\uc720\uc601,0:02:46,Folk/Blues,2022.8.24
94,I WANT,IVE,I WANT,0:02:35,Dance,2023.7.13
95,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),0:04:17,POP,2022.12.30
96,Hate You,\uc815\uad6d,GOLDEN,0:02:39,Dance,2023.11.3
97,A bientot,\uc784\uc601\uc6c5,IM HERO,0:04:17,Ballad,2022.5.22
98,GODS,NewJeans,2023 \ub9ac\uadf8 \uc624\ube0c \ub808\uc804\ub4dc \uc6d4\ub4dc \ucc54\ud53c\uc5b8\uc2ed \uc8fc\uc81c\uace1,0:03:32,Dance,2023.10.4
99,\ubbfc\ub4e4\ub808 (single ver.),\uc6b0\ud6a8,\ubbfc\ub4e4\ub808,0:04:12,Rock/Metal,2017.5.30
