Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
87,Yes or No,Á¤±¹,GOLDEN,0:03:27,Dance,2023.11.3
88,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),0:03:44,R&B/Soul,2019.11.1
89,Polaroid,ÀÓ¿µ¿õ,Polaroid,0:03:32,Rock/Metal,2022.11.15
90,¹ÌÄ£ »ç¶ûÀÇ ³ë·¡,±è¿¬Áö,¹ÌÄ£ »ç¶ûÀÇ ³ë·¡,0:03:54,Ballad,2023.8.20
91,Baggy Jeans,NCT U,Golden Age - The 4th Album,0:03:49,Rap/Hip Hop,2023.8.28
92,ÀÎ»ýÂù°¡,ÀÓ¿µ¿õ,IM HERO,0:03:01,Ballad,2022.5.22
93,½£,ÃÖÀ¯¸®,À¯¿µ,0:02:46,Folk/Blues,2022.8.24
94,I WANT,IVE,I WANT,0:02:35,Dance,2023.7.13
95,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),0:04:17,POP,2022.12.30
96,Hate You,Á¤±¹,GOLDEN,0:02:39,Dance,2023.11.3
97,A bientot,ÀÓ¿µ¿õ,IM HERO,0:04:17,Ballad,2022.5.22
98,GODS,NewJeans,2023 ¸®±× ¿Àºê ·¹Àüµå ¿ùµå Ã¨ÇÇ¾ð½Ê ÁÖÁ¦°î,0:03:32,Dance,2023.10.4
99,¹Îµé·¹ (single ver.),¿ìÈ¿,¹Îµé·¹,0:04:12,Rock/Metal,2017.5.30
